views_per_month,age_months
0.37,69.83
9.21,0.54
0.49,116.36
0.09,54.03
1.52,67.85
0.34,85.67
22.01,3.09
0.20,53.80
118.95,80.75
2.94,25.49
1.24,69.57
6.03,80.20
0.06,46.94
0.01,73.79
0.72,37.28
43.14,44.28
214.11,51.79
2.55,14.12
60.18,67.63
42.51,37.21
126.14,69.31
0.00,52.68
8.10,43.07
0.20,128.00
9.68,100.77
3046.25,2.32
0.09,67.79
68.26,0.25
0.07,67.41
0.46,55.93
0.00,24.46
0.89,57.12
0.52,92.90
28.40,77.08
38.17,183.72
0.85,161.69
53.10,22.15
0.25,156.21
5.71,62.34
17.32,72.36
6.97,0.86
0.52,141.52
645.22,0.71
1.60,145.93
1.14,28.00
0.06,62.07
0.73,26.13
1.50,36.00
7.18,116.56
0.12,120.66
0.16,168.73
342.25,14.68
0.94,41.56
0.06,35.80
0.20,117.08
1.69,65.74
30.66,76.70
0.35,77.06
0.00,101.22
0.93,90.71
1.43,15.40
1.43,29.42
3.47,5.48
0.32,43.65
0.51,58.67
62.30,12.02
0.16,123.09
1274.97,33.59
5.66,3.35
0.15,39.10
0.59,8.53
2.49,22.07
262.07,82.78
2.52,4.36
0.05,40.37
0.92,49.83
0.12,85.58
4.22,14.68
0.48,14.54
17.18,38.47
23.54,152.73
22.96,2.22
0.38,34.60
12.52,3.59
0.16,96.46
95.32,28.62
2.05,63.02
0.01,117.60
6.91,48.61
0.65,129.82
86.63,186.90
18.83,133.52
2.94,88.45
1.84,21.75
0.65,35.11
0.29,34.89
3.99,89.14
0.06,33.40
0.77,23.42
63.19,29.89
0.28,84.77
325.91,117.04
2.85,56.49
77.34,122.98
11.77,4.84
53.86,38.21
0.60,53.04
0.01,116.71
3.26,17.48
0.13,124.30
0.28,131.25
0.73,92.63
90.06,38.31
4.01,9.72
0.20,65.44
10.41,0.58
0.35,74.99
0.51,207.38
30.76,10.83
0.17,29.45
0.04,44.51
7.15,20.57
0.01,72.45
0.03,117.51
78.01,34.88
0.48,111.88
3.17,36.92
2.25,24.40
2.12,128.42
15.43,26.30
0.12,96.01
5.45,162.67
0.02,97.94
0.85,70.67
81.28,50.09
988.34,2.32
0.02,64.91
0.23,72.78
11.55,50.91
113.80,4.61
28.28,17.54
1.46,17.75
22.11,178.54
2.74,51.87
0.00,24.61
0.89,26.84
0.90,83.53
0.43,6.96
0.23,48.78
4.12,88.61
0.41,96.07
14.81,9.72
0.33,42.96
1.01,52.47
73.78,16.01
3.07,217.64
0.80,20.01
0.07,126.44
0.50,15.90
0.05,57.91
5.28,20.66
12.55,112.08
1.00,6.98
8.68,12.78
0.79,13.86
0.78,50.05
939.79,80.00
1.34,28.46
0.20,29.47
3.36,60.44
0.63,22.38
33.72,33.39
3.87,181.60
61.75,39.95
1.14,11.40
2.59,77.46
0.31,13.00
0.10,51.85
0.33,9.02
122.51,55.68
0.00,25.53
367.97,9.16
7.55,103.14
1.18,98.83
0.18,130.55
6.68,126.37
0.07,85.34
1.14,45.73
0.21,72.49
5.06,18.39
900.14,0.99
2382.50,28.93
0.00,92.19
0.26,56.79
12.44,44.93
0.03,85.90
4.04,38.85
0.00,78.51
0.26,64.55
5.34,30.70
117.54,46.08
0.38,36.50
0.00,75.78
11.98,60.93
1.70,12.38
1.70,38.33
11.88,83.32
1.50,65.55
0.26,41.54
0.94,28.67
3.07,115.58
0.00,37.08
2.11,10.44
6.28,78.80
0.48,20.97
0.76,97.30
0.90,10.04
0.01,80.71
0.01,87.64
0.09,68.52
0.13,47.01
1.06,11.27
44.06,1.13
33.84,1.60
0.45,33.67
0.02,58.61
55.22,43.08
1132.52,77.43
98.28,35.73
0.14,84.41
6821.40,0.10
7.31,45.00
7.75,6.97
292.77,7.72
247.71,88.82
0.05,61.91
0.03,104.62
2.40,8.74
0.21,29.05
5.08,29.72
0.29,41.91
1.61,219.34
0.94,63.10
3.46,20.53
6.60,20.47
2.06,19.91
0.47,14.89
295.93,35.17
6.39,141.55
3.41,13.79
4.01,20.95
10.47,15.86
0.83,16.96
5.23,17.22
1.03,74.05
0.48,49.70
4.37,49.93
4.42,88.94
6.59,123.86
0.88,49.13
0.02,55.40
0.06,108.26
3.30,52.20
0.05,84.26
1.95,231.03
1.08,36.08
0.10,195.20
0.00,118.85
0.08,121.87
390.87,13.59
1.24,114.16
0.01,188.89
11.83,3.46
0.75,64.25
0.16,92.51
0.46,56.69
624.50,32.48
1.72,23.21
0.79,35.43
0.06,86.91
0.04,159.89
22.84,3.77
0.50,27.83
0.18,62.60
0.17,64.33
0.24,4.17
0.49,18.36
106.91,0.16
274.58,27.68
17.01,74.78
4.33,47.13
1.37,66.33
0.17,150.94
0.41,14.49
0.10,10.14
1.39,52.34
30.59,130.95
1.90,142.58
0.07,28.95
0.30,29.72
1.37,19.69
2.53,22.51
1.40,48.70
0.02,51.33
0.21,46.85
0.30,81.06
0.24,38.11
0.71,97.37
1.27,121.26
24.10,47.09
0.57,117.27
0.05,40.76
0.06,62.35
0.25,20.32
0.48,83.44
15.68,2.42
0.35,45.69
112.41,75.22
1.05,110.99
0.90,10.00
590.37,110.00
0.07,42.50
0.01,71.52
10.12,21.93
0.00,20.50
0.02,125.17
0.31,22.52
5.43,1.84
13.52,29.88
2.73,27.15
17.33,53.77
0.81,2.46
0.45,33.64
0.02,164.72
0.18,85.34
3.52,70.47
0.04,23.71
0.01,107.40
13069.71,10.08
3.86,8.55
503.51,40.44
0.16,24.34
0.87,21.89
0.26,42.93
2.70,22.59
1.98,56.05
0.25,98.35
1.07,98.97
41.99,22.00
0.09,73.93
0.33,135.76
241.27,131.12
0.28,102.53
0.13,15.88
0.05,63.47
8.02,72.29
1.28,42.94
0.19,10.72
0.00,53.07
9.84,109.88
344.44,6.33
5.31,3.77
8.65,37.59
0.08,24.88
0.13,37.13
7.46,34.57
0.07,94.03
20.35,29.53
0.14,79.98
43.83,0.94
0.03,154.84
0.45,201.45
42.71,108.68
0.73,6.85
0.24,78.88
0.09,118.33
0.01,100.49
0.62,138.10
281.24,15.87
85.05,15.13
10.17,37.18
0.24,42.30
1.72,4.07
1.86,1.08
0.22,36.17
269.21,92.61
1.94,172.00
0.00,0.03
3.97,102.30
0.36,149.97
16.68,71.70
1.56,14.79
6.87,4.22
1.62,36.37
1.88,119.93
2.68,129.97
29.87,14.86
78.94,35.23
8.21,76.36
0.00,61.84
0.17,34.39
1.62,45.09
1.14,139.16
0.02,45.90
1.28,59.94
0.02,45.87
3.97,10.59
102.18,21.82
0.39,72.68
0.08,126.39
0.30,33.49
1475.85,155.30
0.16,24.28
128.11,61.85
0.66,159.49
0.20,75.20
0.39,12.84
0.03,89.14
3.50,9.15
0.48,89.70
12.02,51.10
0.76,43.34
0.00,51.12
2.09,30.66
0.12,41.06
7.60,4.61
0.67,23.98
38.74,16.52
59.09,28.67
2.54,23.61
3.89,24.18
16015.02,0.48
1.11,7.18
0.28,75.91
0.18,38.77
3.96,6.06
32.92,30.56
3.68,103.59
0.26,105.70
5.90,79.66
7.73,60.41
0.32,31.44
0.23,51.54
73.92,63.14
3.99,30.10
0.29,13.79
52.58,61.23
1.58,61.26
0.48,189.16
1.91,25.70
0.03,110.11
0.93,85.57
0.17,120.94
0.19,21.43
0.03,72.59
47.85,79.42
0.66,84.91
0.28,175.55
42.93,3.31
9.38,140.07
0.35,87.71
23.57,7.59
0.30,83.54
0.28,32.03
41.61,134.69
0.01,99.30
4.44,28.38
3.19,6.90
0.05,80.81
6.18,0.81
205.79,0.37
0.02,49.59
0.89,69.74
151.72,195.07
0.29,192.73
0.29,97.65
0.97,49.56
0.04,28.23
4.59,40.27
0.23,13.23
81.01,6.94
6.96,33.03
1.60,110.85
0.41,14.76
0.12,24.68
0.11,70.30
3.06,13.07
0.23,12.97
7.26,191.94
2.04,121.33
0.39,20.76
1.90,45.72
25.51,18.54
0.42,214.32
6.85,4.67
0.40,37.45
11.16,131.81
0.07,108.63
318.80,42.84
0.01,120.38
11.89,67.70
6.17,55.41
5.52,58.84
0.75,16.03
1.72,100.71
133.59,140.55
0.83,47.09
2.90,43.81
0.15,13.60
0.64,58.01
180.48,66.88
59.11,93.75
0.74,51.47
0.36,144.02
7.84,45.17
1.48,49.39
0.21,51.61
0.47,57.89
0.31,100.90
1.20,71.58
12.70,7.16
6.58,189.12
58.64,14.74
81.94,243.05
0.34,65.07
0.42,47.39
10.26,73.19
0.78,94.11
0.02,105.65
0.14,43.39
0.60,11.69
0.00,63.70
0.08,61.40
5.32,19.91
0.03,65.08
4.30,30.70
0.16,18.56
1.40,135.14
5.45,21.09
7.71,23.88
0.11,177.05
5.35,99.96
0.00,89.87
6.32,62.97
161.61,34.25
0.42,75.96
27.60,181.55
0.00,92.34
20.93,198.71
2337.07,0.07
75.77,18.61
1732.85,66.90
0.25,27.60
0.75,84.25
5.04,12.70
0.28,110.72
41.51,5.81
0.92,12.01
177.34,3.86
0.02,43.47
1990.50,3.29
0.18,189.42
0.31,102.39
0.00,19.99
0.01,109.43
890.58,1.03
0.13,55.44
0.37,185.44
10.92,90.25
2.13,108.14
2.27,139.93
5.69,70.10
0.07,58.54
0.12,32.29
2.12,77.70
2.48,51.55
0.17,96.97
1548.67,1.28
15.79,117.31
6.96,40.08
15.76,4.82
0.99,50.74
321.34,9.83
13.97,4.72
122.75,4.71
6.67,123.86
0.14,81.37
63.97,25.93
0.82,57.09
0.36,60.35
0.40,175.74
5481.80,5.37
10.97,45.22
0.89,15.72
0.98,72.11
15.02,60.64
0.00,48.46
3.83,177.40
79.36,1.64
0.36,35.97
1.13,43.34
11.94,45.74
0.07,134.74
1.32,23.42
3.24,182.78
20.63,7.47
0.00,149.58
0.92,64.42
1.05,5.72
11.13,51.37
2.22,61.38
0.08,121.62
50.81,172.22
0.32,58.75
3547.11,61.20
33.48,55.14
0.32,104.36
0.09,33.34
0.08,60.59
0.58,196.28
0.13,54.70
0.10,72.85
0.33,57.99
0.04,24.49
1.30,9.22
3.86,37.05
52.79,47.77
54.30,179.47
44.36,15.38
2.18,4.13
0.01,175.26
0.01,96.17
0.11,36.45
47.65,11.23
0.27,78.06
1.55,52.17
4.93,25.35
1.48,32.52
20.03,32.35
0.12,99.32
41.77,23.25
0.12,56.79
0.67,111.44
0.37,16.38
0.09,11.38
0.81,93.91
0.32,204.45
2.56,14.05
0.40,27.49
1.02,31.24
8.76,39.04
15.57,24.47
0.10,115.23
0.06,95.49
0.32,41.20
0.02,81.21
2.94,36.37
259.21,74.97
16.69,31.03
0.00,75.01
0.29,57.71
0.08,50.94
19.35,61.28
0.03,134.18
2.56,73.07
0.11,37.02
1335.51,2.88
0.00,98.32
0.16,107.02
0.81,110.41
24.83,19.09
7.65,26.79
0.04,56.08
0.18,39.50
10.74,188.47
0.33,58.03
2.67,34.41
2.44,7.80
48.05,80.80
0.09,11.11
4.75,28.82
0.00,57.47
0.34,68.64
4.24,29.98
0.43,85.87
2.61,27.60
0.76,33.02
0.44,88.25
1.43,12.59
0.39,79.64
19.60,53.26
0.51,25.69
0.71,93.54
11.26,39.97
0.10,40.12
2.68,17.52
0.15,106.11
9.31,14.93
10.11,24.74
36.33,0.85
0.06,105.50
0.12,51.21
3032.47,54.54
1.58,13.29
8.28,45.63
32.38,0.22
0.11,149.74
